mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__colsample_bytree,param_model__learning_rate,param_model__min_child_samples,param_model__n_estimators,param_model__num_leaves,param_model__reg_alpha,param_model__reg_lambda,param_model__subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
9.649995470046997,0.3782823111265148,0.3440382480621338,0.06535789035524422,0.7936350297118406,0.05432794140871947,15,1944,70,0.004457814368987928,0.002226511305759761,0.8148122229914667,"{'model__colsample_bytree': np.float64(0.7936350297118406), 'model__learning_rate': np.float64(0.05432794140871947), 'model__min_child_samples': 15, 'model__n_estimators': 1944, 'model__num_leaves': 70, 'model__reg_alpha': np.float64(0.004457814368987928), 'model__reg_lambda': np.float64(0.002226511305759761), 'model__subsample': np.float64(0.8148122229914667)}",-0.13320461265355849,-0.13881777427537992,-0.12457562783983703,-0.12171206753396016,-0.15510005325894746,-0.13468202711233662,0.011887321881090046,112
10.810004949569702,0.763055471647469,0.31607651710510254,0.042890796336437435,0.7834271527847554,0.010668594419664295,10,1669,55,0.11999975480350802,0.005474303040596575,0.7454562418017752,"{'model__colsample_bytree': np.float64(0.7834271527847554), 'model__learning_rate': np.float64(0.010668594419664295), 'model__min_child_samples': 10, 'model__n_estimators': 1669, 'model__num_leaves': 55, 'model__reg_alpha': np.float64(0.11999975480350802), 'model__reg_lambda': np.float64(0.005474303040596575), 'model__subsample': np.float64(0.7454562418017752)}",-0.1321081845662146,-0.1388264545211296,-0.11917559763714274,-0.12020205815924852,-0.1558585528372021,-0.1332341695441875,0.013504692399593524,94
4.580692386627197,0.9147057084310057,0.19919323921203613,0.059135411321388415,0.7458511274633584,0.014767962758622409,29,1152,75,0.00012170466308993162,0.0667890283114108,0.7999652429288138,"{'model__colsample_bytree': np.float64(0.7458511274633584), 'model__learning_rate': np.float64(0.014767962758622409), 'model__min_child_samples': 29, 'model__n_estimators': 1152, 'model__num_leaves': 75, 'model__reg_alpha': np.float64(0.00012170466308993162), 'model__reg_lambda': np.float64(0.0667890283114108), 'model__subsample': np.float64(0.7999652429288138)}",-0.12442857083033455,-0.13578885894526688,-0.11449911278340211,-0.11910458117787538,-0.15143296568590583,-0.12905081788455694,0.013254483402560984,7
4.4003345489501955,0.8293733435403947,0.15121760368347167,0.03381088781451618,0.7116664158034038,0.0569096246939103,22,1089,93,0.08023102291340051,0.00494640818293784,0.8285586096034029,"{'model__colsample_bytree': np.float64(0.7116664158034038), 'model__learning_rate': np.float64(0.0569096246939103), 'model__min_child_samples': 22, 'model__n_estimators': 1089, 'model__num_leaves': 93, 'model__reg_alpha': np.float64(0.08023102291340051), 'model__reg_lambda': np.float64(0.00494640818293784), 'model__subsample': np.float64(0.8285586096034029)}",-0.12653031046553584,-0.13432266061892115,-0.11570578461266408,-0.11928546898227109,-0.14819737280702805,-0.12880831949728405,0.011609425254822609,6
8.405684423446655,0.2494798898723683,0.18291716575622557,0.03096654618790248,0.8481036422155106,0.008784902460121913,14,920,40,0.0001740299082352256,1.9924621034349888,0.9414080082686398,"{'model__colsample_bytree': np.float64(0.8481036422155106), 'model__learning_rate': np.float64(0.008784902460121913), 'model__min_child_samples': 14, 'model__n_estimators': 920, 'model__num_leaves': 40, 'model__reg_alpha': np.float64(0.0001740299082352256), 'model__reg_lambda': np.float64(1.9924621034349888), 'model__subsample': np.float64(0.9414080082686398)}",-0.12820695362118148,-0.13807915084610972,-0.11834982024230721,-0.12241945387243804,-0.15062921447388092,-0.13153691861118347,0.011622675745385022,59
12.239810228347778,0.20507137147782062,0.23963842391967774,0.03702250118041647,0.9020993370291153,0.01477902203629742,9,991,78,0.033679936281377575,0.13213940413505262,0.9082987279340411,"{'model__colsample_bytree': np.float64(0.9020993370291153), 'model__learning_rate': np.float64(0.01477902203629742), 'model__min_child_samples': 9, 'model__n_estimators': 991, 'model__num_leaves': 78, 'model__reg_alpha': np.float64(0.033679936281377575), 'model__reg_lambda': np.float64(0.13213940413505262), 'model__subsample': np.float64(0.9082987279340411)}",-0.1305863189481569,-0.142477878038583,-0.12243102570594375,-0.12117453285585457,-0.16266781208732076,-0.1358675135271718,0.015403031026690654,118
18.596978998184206,0.4501639310903118,0.41344332695007324,0.04554547803480537,0.743341163376943,0.01759105863930014,11,1925,93,0.008389112347840602,0.07961188967202071,0.7462136138813817,"{'model__colsample_bytree': np.float64(0.743341163376943), 'model__learning_rate': np.float64(0.01759105863930014), 'model__min_child_samples': 11, 'model__n_estimators': 1925, 'model__num_leaves': 93, 'model__reg_alpha': np.float64(0.008389112347840602), 'model__reg_lambda': np.float64(0.07961188967202071), 'model__subsample': np.float64(0.7462136138813817)}",-0.12824754435825128,-0.13966682259486735,-0.12209708026662341,-0.11686503428547725,-0.15763032248010816,-0.1329013607970655,0.014511011491083893,89
3.963336372375488,0.20710451665922608,0.1499852180480957,0.029550999873047674,0.9423961569411397,0.03813982488514312,41,1101,93,0.26772156115427376,0.3379192361013682,0.7816351922014588,"{'model__colsample_bytree': np.float64(0.9423961569411397), 'model__learning_rate': np.float64(0.03813982488514312), 'model__min_child_samples': 41, 'model__n_estimators': 1101, 'model__num_leaves': 93, 'model__reg_alpha': np.float64(0.26772156115427376), 'model__reg_lambda': np.float64(0.3379192361013682), 'model__subsample': np.float64(0.7816351922014588)}",-0.1328742933913658,-0.1387038184306693,-0.12152765525126738,-0.12361936327783549,-0.15264357423657526,-0.13387374091754264,0.011262444486179664,107
9.124253845214843,0.2272079480363114,0.2591498374938965,0.028793114588503293,0.8426109936013498,0.022848193734738828,28,1619,76,0.001008583663099293,0.7614139119869378,0.7891883316733973,"{'model__colsample_bytree': np.float64(0.8426109936013498), 'model__learning_rate': np.float64(0.022848193734738828), 'model__min_child_samples': 28, 'model__n_estimators': 1619, 'model__num_leaves': 76, 'model__reg_alpha': np.float64(0.001008583663099293), 'model__reg_lambda': np.float64(0.7614139119869378), 'model__subsample': np.float64(0.7891883316733973)}",-0.12573819474862377,-0.13909024610702886,-0.1194915921181738,-0.12075668216249684,-0.15294946472354984,-0.13160523597197463,0.012731497457972448,60
4.270778703689575,0.08536356995337009,0.16146292686462402,0.03274699050966647,0.7702336274218451,0.02387714007196671,36,914,76,0.00018869508789698286,2.701005964742302,0.8930611923241643,"{'model__colsample_bytree': np.float64(0.7702336274218451), 'model__learning_rate': np.float64(0.02387714007196671), 'model__min_child_samples': 36, 'model__n_estimators': 914, 'model__num_leaves': 76, 'model__reg_alpha': np.float64(0.00018869508789698286), 'model__reg_lambda': np.float64(2.701005964742302), 'model__subsample': np.float64(0.8930611923241643)}",-0.12750664117133914,-0.13494146152034636,-0.11806076111921569,-0.11927764393300883,-0.14976384642103424,-0.12991007083298886,0.011650909097269022,23
