mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__colsample_bytree,param_model__learning_rate,param_model__max_depth,param_model__min_child_weight,param_model__n_estimators,param_model__subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.09934277534484863,0.014479138100442322,0.005120420455932617,0.000822069274298023,0.7,0.03,3,1.0,400,0.7,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.03, 'model__max_depth': 3, 'model__min_child_weight': 1.0, 'model__n_estimators': 400, 'model__subsample': 0.7}",-2.0396326229896076,-2.1480719601666487,-2.6859805354365602,-2.271452501085069,-1.9288927483558655,-2.21480607360675,0.26157209349639676,438
0.1010561466217041,0.013425685476148164,0.0045588016510009766,0.0003604858325142214,0.7,0.03,3,1.0,400,0.85,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.03, 'model__max_depth': 3, 'model__min_child_weight': 1.0, 'model__n_estimators': 400, 'model__subsample': 0.85}",-2.116705025566949,-2.1487096292001233,-2.627255272570952,-2.2384980025114833,-1.956893709897995,-2.2176123279495004,0.22411943996351608,461
0.09387640953063965,0.0035273260960371547,0.005793857574462891,0.0009731800904607386,0.7,0.03,3,1.0,400,1.0,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.03, 'model__max_depth': 3, 'model__min_child_weight': 1.0, 'model__n_estimators': 400, 'model__subsample': 1.0}",-2.0956962797376852,-2.103730285314866,-2.61862671699053,-2.3831117889027533,-1.9603079533576966,-2.232294604860706,0.23713411780997795,626
0.12497215270996094,0.01533833376406446,0.0054016590118408205,0.0027704393530855608,0.7,0.03,3,1.0,600,0.7,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.03, 'model__max_depth': 3, 'model__min_child_weight': 1.0, 'model__n_estimators': 600, 'model__subsample': 0.7}",-2.0172964778947247,-2.133212715902446,-2.6699727070184407,-2.3002825937153384,-1.8926190638542173,-2.202676711677033,0.2695252412039232,312
0.13167099952697753,0.013058441927651803,0.00432281494140625,0.00031524127555758886,0.7,0.03,3,1.0,600,0.85,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.03, 'model__max_depth': 3, 'model__min_child_weight': 1.0, 'model__n_estimators': 600, 'model__subsample': 0.85}",-2.0899343090292852,-2.1588585158924998,-2.6233305165797107,-2.247471034673997,-1.9111133873462678,-2.2061415527043517,0.2360238060308913,351
0.12252950668334961,0.028500185400912207,0.0036359786987304687,7.364033228543415e-05,0.7,0.03,3,1.0,600,1.0,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.03, 'model__max_depth': 3, 'model__min_child_weight': 1.0, 'model__n_estimators': 600, 'model__subsample': 1.0}",-2.070616533726822,-2.1403127705609357,-2.6083517380702648,-2.4065062063711657,-1.944963002204895,-2.234150050186817,0.24037942614263835,649
0.16556763648986816,0.0061182734302629655,0.004562568664550781,0.0005252124475411955,0.7,0.03,3,1.0,800,0.7,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.03, 'model__max_depth': 3, 'model__min_child_weight': 1.0, 'model__n_estimators': 800, 'model__subsample': 0.7}",-1.9947662541895743,-2.132887801417598,-2.687781656524282,-2.3296663967179665,-1.8799022066593172,-2.2050008631017475,0.2841502456941039,338
0.18920416831970216,0.020682079782313987,0.0039919853210449215,0.00026125970994595,0.7,0.03,3,1.0,800,0.85,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.03, 'model__max_depth': 3, 'model__min_child_weight': 1.0, 'model__n_estimators': 800, 'model__subsample': 0.85}",-2.07882521123062,-2.1774609836531273,-2.6430098922164356,-2.2559093475341796,-1.8962181866168977,-2.210284724250252,0.24751948158167728,400
0.16629796028137206,0.014024921841818192,0.004219484329223633,0.0004130815944932284,0.7,0.03,3,1.0,800,1.0,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.03, 'model__max_depth': 3, 'model__min_child_weight': 1.0, 'model__n_estimators': 800, 'model__subsample': 1.0}",-2.061204462875555,-2.172381882608673,-2.6149155110488707,-2.42447742179588,-1.9288219690322876,-2.2403602494722534,0.24817926244196484,693
0.21316251754760743,0.01545868927614227,0.004654359817504883,0.0002666262760220489,0.7,0.03,3,1.0,1000,0.7,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.03, 'model__max_depth': 3, 'model__min_child_weight': 1.0, 'model__n_estimators': 1000, 'model__subsample': 0.7}",-1.9800385745955105,-2.152489587995741,-2.7113664391600056,-2.3420156902737093,-1.8772853589057923,-2.212639130186152,0.2951780346892844,422
0.24463753700256347,0.012907758509673068,0.004216957092285156,0.000401593528542619,0.7,0.03,3,1.0,1000,0.85,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.03, 'model__max_depth': 3, 'model__min_child_weight': 1.0, 'model__n_estimators': 1000, 'model__subsample': 0.85}",-2.0810205765712415,-2.184286360093105,-2.6646917484424737,-2.2850252952104735,-1.8841312420368195,-2.2198310444708227,0.25898936820182344,482
0.1994480609893799,0.0057046971204983985,0.005086469650268555,0.0014976949783441842,0.7,0.03,3,1.0,1000,1.0,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.03, 'model__max_depth': 3, 'model__min_child_weight': 1.0, 'model__n_estimators': 1000, 'model__subsample': 1.0}",-2.064797754640933,-2.211340316725366,-2.614063952881613,-2.4510345223509233,-1.9249991369247437,-2.253247136704716,0.2507288277312165,869
